,room_id,host_id,room_type,city,neighborhood,District,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
626,4730334,17109828,Shared room,??,"??????, ?",chaoyang,3,4,1,1,1,11,1,40.009868,116.375088,06:44.7
627,4731067,15070228,Entire home/apt,Beijing,Dawanglu,chaoyang,0,,2,0,1,129,1,39.921107,116.464564,52:11.4
628,4731639,14817622,Entire home/apt,Beijing,Wangjing,chaoyang,0,,2,1,1,48,1,39.985658,116.468625,51:40.4
629,4734074,24399335,Entire home/apt,Beijing,Beijin,miyun,4,4.5,2,1,1,38,7,39.922008,116.497186,51:56.3
630,4738306,21620001,Private room,??,Fang Zhuang,fengtai,0,,4,1,1,161,22,39.859049,116.417311,13:56.2
631,4739385,24467174,Private room,Beijing,Shichahai,xicheng,0,,2,1,1,42,1,39.943214,116.397072,09:45.1
632,4742326,7562343,Entire home/apt,Beijing,"Nan San Li Tun Lu, Beijin",chaoyang,6,5,4,2,1,82,1,39.928232,116.45702,53:12.8
633,4753515,16702131,Private room,Beijing,"?????, Beijin",miyun,0,,2,1,0.5,23,4,39.972684,116.371108,58:16.8
634,4755921,24540925,Private room,Beijing,Shichahai,xicheng,2,4,2,1,1,77,1,39.941343,116.399921,09:22.3
635,4763132,8190663,Entire home/apt,Beijing,Beijin,miyun,1,4,2,1,1,16,5,39.873847,116.260893,25:29.3
636,4769288,18727097,Private room,Beijing,Beijin,miyun,1,5,1,1,1,35,1,39.942011,116.443083,09:29.8
637,4777503,23449943,Entire home/apt,Beijing,Sanlitun,chaoyang,4,5,2,0,1,69,1,39.925329,116.457476,58:32.1
638,4778922,13464892,Private room,Beijing,Chaoyang Park/Tuan Jie Hu,chaoyang,0,,1,1,1,33,1,39.928609,116.470934,05:40.2
639,4787409,24679117,Private room,Haidian District,Zhongguancun,haidian,0,,1,1,1,145,1,39.972775,116.315996,40:52.5
640,4795744,24688202,Private room,Beijing,Suzhouqiao,haidian,1,4,,1,2,20,20,39.974827,116.297602,17:13.6
641,4803640,7839380,Entire home/apt,Dongcheng District,"Beiheyan street, NanLuoGuXiang area, Dongcheng Dis",dongcheng,19,5,4,2,1,103,2,39.930962,116.398196,13:32.1
642,4804754,24752759,Private room,Beijing,Beijin,miyun,6,5,2,1,2,40,1,39.936282,116.446137,01:01.1
643,4806006,10042167,Private room,Beijing,"???, Beijin",miyun,6,5,2,1,1,32,1,39.898376,116.451895,02:46.6
644,4811928,7839380,Private room,Dongcheng district,"Beiheyan Street, NanLuoGuXiang Area, Dongcheng dis",dongcheng,9,4.5,2,1,1,49,2,39.931312,116.400014,11:25.5
645,4812144,7839380,Private room,Dongcheng district,"Beiheyan Street, NanLuoGuXiang area, Dongcheng di",dongcheng,8,5,2,1,1,42,2,39.932466,116.399729,09:31.4
646,4812705,24787175,Private room,Beijing,Beijin,miyun,7,4.5,2,1,0.5,47,2,40.001255,116.316059,16:40.8
647,4813770,17869497,Private room,Beijing,Chaoyang Park/Tuan Jie Hu,chaoyang,0,,2,1,0.5,26,3,39.92652,116.479217,04:30.4
648,4817929,24812190,Private room,Beijing,Sanlitun,chaoyang,19,5,2,1,1,45,,39.948104,116.433156,08:21.5
649,4819768,24819881,Private room,Beijing,Beijin,miyun,2,5,2,1,1,52,5,39.933787,116.459217,04:29.1
650,4825041,24845589,Private room,Beijing,Shilipu,chaoyang,0,,1,1,1,31,4,39.929499,116.518869,29:29.2
651,4825628,24165926,Private room,Beijing,Dongzhimen,dongcheng,1,1,2,1,6.5,22,1,39.947907,116.425941,09:23.8
652,4827732,15855533,Entire home/apt,Beijing,Sanlitun,chaoyang,24,5,2,0,1,68,1,39.93862,116.440833,12:09.0
653,4832624,6934903,Private room,Dongcheng District,"No.1 East Chang'An avenue, Dongcheng Distric",dongcheng,8,5,2,1,1,76,1,39.910237,116.416909,09:29.6
654,4836859,15446542,Entire home/apt,Beijing,"?????, Beijin",miyun,0,,3,1,1,66,1,39.88957,116.435606,13:25.3
655,4851733,23917233,Private room,Beijing,Sanlitun,chaoyang,0,,1,1,1,25,8,39.942426,116.440257,09:10.9
656,4856566,24955392,Entire home/apt,Beijing,"Guo Zi Jian Jie, Beijin",dongcheng,0,,4,1,1,322,1,39.946193,116.411499,13:10.7
657,4857019,24688202,Private room,Beijing,Chaoyang,chaoyang,1,4,2,1,2,22,14,39.965317,116.487383,04:38.6
658,4857138,24987006,Private room,Beijing,"He Yin Zhong Lu, Beijin",chaoyang,30,5,2,1,0.5,29,1,40.002763,116.469601,59:50.8
659,4864988,22705046,Entire home/apt,Beijing,Bei Tai Ping Zhuang,haidian,8,4.5,2,1,1,42,1,39.977432,116.362978,45:46.5
660,4869485,8961100,Entire home/apt,Beijing,"???66??, Beijin",miyun,2,4,,0,1,89,1,39.919361,116.421979,13:39.5
661,4870834,25055274,Private room,Beijing,Jinsong/Panjiayuan,chaoyang,0,,2,1,1,43,1,39.889704,116.476057,20:52.0
662,4882907,25119796,Private room,Beijing,Zizhuqiao,haidian,5,5,2,1,1,31,3,39.942199,116.302485,16:41.3
663,4884285,25128073,Private room,??,"????, ?",miyun,11,5,2,1,1,34,1,39.97902,116.420502,03:16.9
